Brand Name	Discounted Price	Original Price	Price Change
ROCHAS	"HKD 5,523"	"HKD 12,275"	55% off
VINCE.	"HKD 2,369"	"HKD 4,647"	49% off
THEORY	"HKD 2,496"	"HKD 5,805"	57% off
ROKSANDA	"HKD 8,358"	"HKD 19,900"	58% off
JIL SANDER	"HKD 8,745"	"HKD 27,330"	68% off
DKNY	"HKD 4,254"	"HKD 9,453"	55% off
YVES SALOMON	"HKD 8,024"	"HKD 16,049"	50% off
YVES SALOMON	"HKD 14,284"	"HKD 28,566"	50% off
ROKSANDA	"HKD 6,764"	"HKD 17,800"	62% off
JIL SANDER	"HKD 6,193"	"HKD 17,695"	65% off
MSGM	"HKD 2,272"	"HKD 5,285"	57% off
DUVETICA	"HKD 1,314"	"HKD 2,736"	52% off
CHLOÉ	"HKD 13,940"	"HKD 27,880"	50% off
CHLOÉ	"HKD 12,994"	"HKD 28,875"	55% off
VICTORIA BECKHAM	"HKD 5,289"	"HKD 13,224"	60% off
AGNONA	"HKD 10,099"	"HKD 28,855"	65% off
YVES SALOMON	"HKD 7,029"	"HKD 14,059"	50% off
HAIDER ACKERMANN	"HKD 7,544"	"HKD 21,552"	65% off
AGNONA	"HKD 10,332"	"HKD 29,522"	65% off
THE ROW	"HKD 13,814"	"HKD 23,024"	40% off
MARNI	"HKD 10,552"	"HKD 21,104"	50% off
GIVENCHY	"HKD 13,284"	"HKD 26,567"	50% off
DKNY	"HKD 3,394"	"HKD 7,542"	55% off
IRO	"HKD 5,714"	"HKD 16,328"	65% off
HELMUT LANG	"HKD 9,254"	"HKD 20,565"	55% off
BURBERRY	"HKD 6,782"	"HKD 16,955"	60% off
YVES SALOMON	"HKD 8,064"	"HKD 16,129"	50% off
MARY KATRANTZOU	"HKD 6,796"	"HKD 16,990"	60% off
MARY KATRANTZOU	"HKD 6,796"	"HKD 16,990"	60% off
MICHAEL KORS COLLECTION	"HKD 3,185"	"HKD 10,617"	70% off
ROBERTO CAVALLI	"HKD 4,950"	"HKD 15,005"	67% off
MILLY	"HKD 3,098"	"HKD 6,885"	55% off
BOUTIQUE MOSCHINO	"HKD 3,960"	"HKD 9,900"	60% off
ROLAND MOURET	"HKD 4,430"	"HKD 9,845"	55% off
KARL DONOGHUE	"HKD 4,269"		
HELMUT LANG	"HKD 3,848"	"HKD 8,746"	56% off
MSGM	"HKD 3,053"	"HKD 6,940"	56% off
TEMPERLEY LONDON	"HKD 3,634"	"HKD 9,084"	60% off
FACETASM	"HKD 4,668"	"HKD 11,671"	60% off
ALICE + OLIVIA	"HKD 2,985"	"HKD 5,970"	50% off
AINEA	"HKD 1,902"	"HKD 3,805"	50% off
VINCE.	"HKD 3,284"	"HKD 5,970"	45% off
JOSEPH	"HKD 2,840"	"HKD 5,920"	52% off
EMILIO PUCCI	"HKD 3,882"	"HKD 8,627"	55% off
CHRISTOPHER KANE	"HKD 3,098"	"HKD 10,328"	70% off
IRO	"HKD 3,298"	"HKD 8,458"	61% off
CHLOÉ	"HKD 5,764"	"HKD 12,811"	55% off
IRO	"HKD 2,628"	"HKD 5,970"	56% off
DROME	"HKD 4,964"	"HKD 12,728"	61% off
BELSTAFF	"HKD 2,470"	"HKD 6,179"	60% off
CO	"HKD 4,048"	"HKD 8,996"	55% off
GOEN.J	"HKD 3,840"	"HKD 9,370"	59% off
